city,date,temp_avg,temp_min,temp_max,precipitation,snow,wind,wind_dir,wind_speed,wind_gust,pressure,sun
KALININGRAD GUSEV,2018-04-07,6.0,-1.5,13.0,0.0,0.0,8.7,161.0,8.7,0.0,1027.2,0.0
KALININGRAD GUSEV,2018-04-08,11.7,2.4,20.6,0.0,0.0,10.4,161.0,10.4,0.0,1020.6,0.0
KALININGRAD GUSEV,2018-04-09,15.3,8.2,23.2,0.0,0.0,13.2,155.0,13.2,0.0,1010.5,0.0
KALININGRAD GUSEV,2018-04-10,11.9,5.0,19.7,0.0,0.0,0.0,0.0,0.0,0.0,1011.7,0.0
KALININGRAD GUSEV,2018-04-12,10.4,5.7,15.6,0.0,0.0,16.2,85.0,16.2,0.0,1018.8,0.0
KALININGRAD GUSEV,2018-04-13,12.1,5.5,19.2,0.0,0.0,16.5,88.0,16.5,0.0,1019.5,0.0
KALININGRAD GUSEV,2018-04-14,12.8,6.3,21.0,0.0,0.0,11.3,112.0,11.3,0.0,1020.4,0.0
KALININGRAD GUSEV,2018-04-15,13.0,4.7,19.2,0.0,0.0,8.7,156.0,8.7,0.0,1020.8,0.0
KALININGRAD GUSEV,2018-04-16,14.5,9.4,20.5,0.0,0.0,0.0,0.0,0.0,0.0,1013.9,0.0
KALININGRAD GUSEV,2018-04-17,11.9,7.6,14.1,0.0,0.0,0.0,0.0,0.0,0.0,1017.3,0.0
KALININGRAD GUSEV,2018-04-18,10.8,6.7,14.9,0.0,0.0,18.6,281.0,18.6,0.0,1026.7,0.0
KALININGRAD GUSEV,2018-04-19,11.9,6.8,17.1,0.0,0.0,19.1,306.0,19.1,0.0,1025.7,0.0
LATVIA LITHUANIA,2019-05-29,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LATVIA LITHUANIA,2019-05-30,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LATVIA LITHUANIA,2019-05-31,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LATVIA LITHUANIA,2019-06-01,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LATVIA LITHUANIA,2019-06-02,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LATVIA LITHUANIA,2019-06-03,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LATVIA LITHUANIA,2019-06-04,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LATVIA LITHUANIA,2019-06-05,21.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LATVIA LITHUANIA,2019-06-06,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LATVIA LITHUANIA,2019-06-07,22.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LATVIA LITHUANIA,2019-06-08,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LATVIA LITHUANIA,2019-06-09,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LATVIA LITHUANIA,2019-06-10,17.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOLDOVA ROMANIA,2019-08-20,21.9,11.9,32.1,0.0,0.0,4.8,261.0,4.8,0.0,1020.7,0.0
MOLDOVA ROMANIA,2019-08-21,22.5,12.6,32.4,0.0,0.0,6.5,278.0,6.5,0.0,1020.6,0.0
MOLDOVA ROMANIA,2019-08-22,21.7,16.4,26.7,0.0,0.0,18.3,287.0,18.3,0.0,1023.0,0.0
MOLDOVA ROMANIA,2019-08-23,22.4,16.4,29.5,0.0,0.0,14.4,302.0,14.4,0.0,1024.2,0.0
MOLDOVA ROMANIA,2019-08-24,22.6,15.5,30.3,0.0,0.0,11.1,296.0,11.1,0.0,1023.6,0.0
MOLDOVA ROMANIA,2019-08-25,23.7,15.2,32.7,0.0,0.0,0.0,0.0,0.0,0.0,1022.2,0.0
MOLDOVA ROMANIA,2019-08-26,24.0,15.7,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1022.8,0.0
MOLDOVA ROMANIA,2019-08-27,22.8,14.0,32.9,0.0,0.0,0.0,0.0,0.0,0.0,1021.9,0.0
MOLDOVA ROMANIA,2019-08-28,22.4,13.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1021.7,0.0
MOLDOVA ROMANIA,2019-08-29,22.2,12.4,31.9,0.0,0.0,0.0,0.0,0.0,0.0,1019.8,0.0
MOLDOVA ROMANIA,2019-08-30,22.1,13.4,31.1,0.0,0.0,4.5,298.0,4.5,0.0,1019.6,0.0
MOLDOVA ROMANIA,2019-08-31,21.7,12.9,30.9,0.0,0.0,0.0,0.0,0.0,0.0,1019.4,0.0
MOLDOVA ROMANIA,2019-09-01,21.7,12.6,31.8,0.0,0.0,0.0,0.0,0.0,0.0,1015.5,0.0
UKRAINE KONOTOP,2020-03-12,8.7,3.0,11.4,0.0,0.0,16.5,240.0,16.5,38.9,1008.2,0.0
UKRAINE KONOTOP,2020-03-13,8.8,5.8,12.3,0.0,0.0,13.8,247.0,13.8,40.8,1006.9,0.0
UKRAINE KONOTOP,2020-03-14,2.4,-0.8,8.5,0.0,0.0,14.1,251.0,14.1,59.3,1008.3,0.0
UKRAINE KONOTOP,2020-03-15,-1.3,-3.6,1.4,0.0,0.0,11.6,305.0,11.6,44.5,1021.6,0.0
UKRAINE KONOTOP,2020-03-16,0.7,-5.7,6.6,0.0,0.0,5.9,271.0,5.9,22.2,1030.0,0.0
UKRAINE KONOTOP,2020-03-17,4.2,0.2,10.2,0.0,0.0,10.2,195.0,10.2,31.5,1026.5,0.0
UKRAINE KONOTOP,2020-03-18,5.0,-2.4,11.0,0.0,0.0,6.7,215.0,6.7,25.9,1029.5,0.0
UKRAINE KONOTOP,2020-03-19,10.2,3.0,17.3,0.0,0.0,9.3,242.0,9.3,29.6,1020.0,0.0
UKRAINE KONOTOP,2020-03-20,7.6,3.4,12.3,0.0,0.0,7.6,312.0,7.6,29.6,1019.9,0.0
UKRAINE KONOTOP,2020-03-21,4.5,2.2,7.9,0.0,0.0,3.9,349.0,3.9,16.7,1017.0,0.0
UKRAINE KONOTOP,2020-03-22,1.4,-1.8,3.7,0.0,0.0,18.2,44.0,18.2,46.3,1022.3,0.0
