uleft0,uright0,bleft0,bright0,uleft1,uright1,bleft1,bright1,uleft2,uright2,bleft2,bright2
LATVIA_LITHUANIA_2019-05-29_2019-06-10-0-0-3-21.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-0-0-3-22.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-0-0-4-21.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-0-0-4-22.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-1-0-3-21.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-1-0-3-22.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-1-0-4-21.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-1-0-4-22.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-2-0-3-21.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-2-0-3-22.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-2-0-4-21.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-2-0-4-22.tiff
LATVIA_LITHUANIA_2019-05-29_2019-06-10-0-0-3-22.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-0-0-3-23.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-0-0-4-22.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-0-0-4-23.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-1-0-3-22.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-1-0-3-23.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-1-0-4-22.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-1-0-4-23.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-2-0-3-22.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-2-0-3-23.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-2-0-4-22.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-2-0-4-23.tiff
LATVIA_LITHUANIA_2019-05-29_2019-06-10-0-0-3-23.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-0-0-3-24.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-0-0-4-23.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-0-0-4-24.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-1-0-3-23.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-1-0-3-24.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-1-0-4-23.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-1-0-4-24.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-2-0-3-23.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-2-0-3-24.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-2-0-4-23.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-2-0-4-24.tiff
LATVIA_LITHUANIA_2019-05-29_2019-06-10-0-0-4-19.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-0-0-4-20.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-0-0-5-19.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-0-0-5-20.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-1-0-4-19.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-1-0-4-20.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-1-0-5-19.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-1-0-5-20.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-2-0-4-19.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-2-0-4-20.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-2-0-5-19.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-2-0-5-20.tiff
LATVIA_LITHUANIA_2019-05-29_2019-06-10-0-0-4-20.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-0-0-4-21.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-0-0-5-20.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-0-0-5-21.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-1-0-4-20.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-1-0-4-21.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-1-0-5-20.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-1-0-5-21.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-2-0-4-20.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-2-0-4-21.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-2-0-5-20.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-2-0-5-21.tiff
LATVIA_LITHUANIA_2019-05-29_2019-06-10-0-0-4-21.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-0-0-4-22.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-0-0-5-21.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-0-0-5-22.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-1-0-4-21.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-1-0-4-22.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-1-0-5-21.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-1-0-5-22.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-2-0-4-21.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-2-0-4-22.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-2-0-5-21.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-2-0-5-22.tiff
LATVIA_LITHUANIA_2019-05-29_2019-06-10-0-0-4-22.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-0-0-4-23.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-0-0-5-22.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-0-0-5-23.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-1-0-4-22.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-1-0-4-23.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-1-0-5-22.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-1-0-5-23.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-2-0-4-22.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-2-0-4-23.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-2-0-5-22.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-2-0-5-23.tiff
LATVIA_LITHUANIA_2019-05-29_2019-06-10-0-0-4-23.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-0-0-4-24.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-0-0-5-23.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-0-0-5-24.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-1-0-4-23.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-1-0-4-24.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-1-0-5-23.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-1-0-5-24.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-2-0-4-23.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-2-0-4-24.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-2-0-5-23.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-2-0-5-24.tiff
LATVIA_LITHUANIA_2019-05-29_2019-06-10-0-0-4-26.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-0-0-4-27.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-0-0-5-26.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-0-0-5-27.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-1-0-4-26.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-1-0-4-27.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-1-0-5-26.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-1-0-5-27.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-2-0-4-26.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-2-0-4-27.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-2-0-5-26.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-2-0-5-27.tiff
LATVIA_LITHUANIA_2019-05-29_2019-06-10-0-0-5-18.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-0-0-5-19.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-0-0-6-18.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-0-0-6-19.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-1-0-5-18.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-1-0-5-19.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-1-0-6-18.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-1-0-6-19.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-2-0-5-18.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-2-0-5-19.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-2-0-6-18.tiff,LATVIA_LITHUANIA_2019-05-29_2019-06-10-2-0-6-19.tiff
